rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
111,the intersection,17.729568715891297,Other,US,10.108752815403598,10.491346156332098,25.0,55.769230769230774,105141451.0,1,0.0,105141451.0,0.0,0.0
112,global news geopolitical developments,17.63787476322367,Other,IN,10.069758219429433,10.450875703442211,25.0,55.12820512820513,104735867.0,1,0.0,104735867.0,0.0,0.0
113,big bulletin,17.51695237720019,Other,IN,9.989455410677866,10.367533615716548,25.0,54.48717948717948,103900635.0,1,0.0,103900635.0,0.0,0.0
114,la cotorrisa anecdotarios,17.442173442900547,Other,MX,9.974366617979955,10.351873746475931,25.0,53.84615384615385,103743696.0,1,0.0,103743696.0,0.0,0.0
115,the deck,17.411013924341034,True Crime,Unknown,1.2532393231141772,6.144193536141949,50.0,55.55555555555556,13034981.0,2,9260409.0,0.0,3774572.0,0.0
116,dick doof,17.408420560266194,Comedy,DE,1.321544571193162,22.374605009711694,25.0,72.72727272727273,13745426.0,1,0.0,0.0,13745426.0,0.0
117,intens investigasi,17.33888983353666,Other,ID,9.918992491875056,10.29440383543155,25.0,53.205128205128204,103167748.0,1,0.0,103167748.0,0.0,0.0
118,india explained,17.222100876763875,Other,IN,9.844531411720748,10.217124572466208,25.0,52.56410256410257,102393276.0,1,0.0,102393276.0,0.0,0.0
119,memoria del balón,17.090773759499832,Other,CO,9.749523714522237,10.118521049655095,25.0,51.92307692307693,101405098.0,1,0.0,101405098.0,0.0,0.0
120,direito estatal,17.018570667286234,Other,US,9.738075330178615,10.106639369958994,25.0,51.28205128205128,101286023.0,1,0.0,101286023.0,0.0,0.0
121,과학을 보다,16.82783700140891,Other,KR,9.559109032783804,9.920899604572211,25.0,50.641025641025635,99424589.0,1,0.0,99424589.0,0.0,0.0
122,bulwark super feed,16.736612787532856,Other,US,9.520778313306742,9.881118154397434,25.0,50.0,99025910.0,1,0.0,99025910.0,0.0,0.0
123,the wild project 1vs1 cada jueves,16.552111715264168,Other,ES,9.350620469646213,9.704520222718127,25.0,49.358974358974365,97256093.0,1,0.0,97256093.0,0.0,0.0
124,уроки истории,16.45031426283594,Other,RU,9.297346712253225,9.649230174572264,25.0,48.717948717948715,96701991.0,1,0.0,96701991.0,0.0,0.0
125,jack cocchiarella,16.344792234181973,Other,US,9.238809053597894,9.588476998453597,25.0,48.07692307692308,96093139.0,1,0.0,96093139.0,0.0,0.0
126,mrballens medical mysteries,16.337535825427388,True Crime,Unknown,1.3925449367184655,23.57668715571116,25.0,59.25925925925925,14483903.0,1,0.0,0.0,14483903.0,0.0
127,huberman lab,16.308793074137903,Education,US,2.340322040537412,4.539314115499824,25.0,92.3076923076923,24341762.0,1,24341762.0,0.0,0.0,0.0
